run_number,temperature,tags,summary,latency_ms,timestamp
1,0.7,"[""soccer game rescheduling"", ""venue change announcement"", ""logistical updates""]",Falcons vs. Tigers soccer semifinal moves to Spartan Stadium on September 12 due to field maintenance.,115146,2026-08-31T09:09:11.858403+00:00
2,0.7,"[""soccer match rescheduling"", ""venue change notice"", ""logistics update""]","Community soccer semifinal rescheduled to Spartan Stadium with early arrival, ID requirements, and a backup venue for rain.",119965,2026-08-31T09:11:11.826153+00:00
3,0.7,"[""soccer game rescheduling"", ""venue change notification"", ""logistics update""]","Community soccer semifinal rescheduled to Spartan Stadium on September 12 with early arrival, ID checks, and rain backup venue.",134565,2026-08-31T09:13:26.393249+00:00
4,0.7,"[""soccer match rescheduling"", ""venue change notification"", ""event logistics update""]",Falcons vs. Tigers soccer semifinal rescheduled to Spartan Stadium on September 12 due to field maintenance with logistical updates.,142509,2026-08-31T09:15:48.904541+00:00
5,0.7,"[""soccer game rescheduling"", ""venue change notification"", ""event logistics update""]","Community soccer semifinal rescheduled to Spartan Stadium on September 12 with early arrival, ID checks, and a backup venue for rain.",113449,2026-08-31T09:17:42.356890+00:00
6,0.7,"[""soccer semifinal reschedule"", ""venue change notification"", ""rain backup venue info""]",Falcons vs. Tigers soccer semifinal rescheduled to Spartan Stadium on September 12 due to field maintenance with arrival and venue details specified.,112268,2026-08-31T09:19:34.626711+00:00
7,0.7,"[""soccer match rescheduling"", ""stadium venue change"", ""event logistics update""]",Community soccer semifinal rescheduled to Spartan Stadium on September 12 with rain backup at the community center.,91446,2026-08-31T09:21:06.074221+00:00
8,0.7,"[""community soccer semifinal rescheduling"", ""spartan stadium location change"", ""logistics and backup venue""]",The Falcons and Tigers' soccer semifinal is rescheduled to Spartan Stadium on September 12 with logistics updates and a backup plan.,103940,2026-08-31T09:22:50.015781+00:00
9,0.7,"[""soccer semifinal rescheduling"", ""venue change notification"", ""community event logistics""]",Community soccer semifinal rescheduled to Spartan Stadium on September 12 with community center as backup.,84814,2026-08-31T09:24:14.830427+00:00
10,0.7,"[""soccer semifinal rescheduling"", ""field maintenance update"", ""event logistics changes""]","The Falcons vs. Tigers soccer semifinal is rescheduled to Spartan Stadium on September 12 due to field maintenance, with a backup venue and updated logistics.",79472,2026-08-31T09:25:34.303412+00:00
11,0.7,"[""soccer match rescheduling"", ""venue change announcement"", ""event logistics update""]","Community soccer semifinal rescheduled to Spartan Stadium on September 12 with early arrival, ID checks, and rain backup.",83270,2026-08-31T09:26:57.598974+00:00
12,0.7,"[""soccer game rescheduling"", ""field maintenance impact"", ""venue change logistics""]","The Falcons vs. Tigers soccer semifinal is rescheduled to Spartan Stadium on September 12 due to field maintenance, with the community center as a backup.",84928,2026-08-31T09:28:22.535504+00:00
13,0.7,"[""soccer match rescheduling"", ""field maintenance impact"", ""backup venue preparation""]",Community soccer semifinal rescheduled to Spartan Stadium on September 12 for field maintenance with rain backup.,83735,2026-08-31T09:29:46.273868+00:00
14,0.7,"[""soccer semifinal rescheduling"", ""field maintenance notice"", ""venue logistics update""]","Falcons vs. Tigers soccer semifinal rescheduled to Spartan Stadium on September 12 due to field maintenance with updated arrival times, ID requirements, and backup venue.",102776,2026-08-31T09:31:29.053440+00:00
15,0.7,"[""soccer semifinal rescheduling"", ""stadium venue change"", ""field maintenance reason""]",Community soccer semifinal moved to Spartan Stadium on Sept 12 due to field maintenance.,74064,2026-08-31T09:32:43.121333+00:00
16,0.7,"[""soccer semifinal reschedule"", ""stadium relocation"", ""field maintenance""]",Community soccer semifinal moved to Spartan Stadium on September 12 due to field maintenance.,151557,2026-08-31T09:35:14.681873+00:00
17,0.7,"[""soccer semifinal rescheduling"", ""stadium location change"", ""field maintenance reason""]",Falcons and Tigers' soccer semifinal moves to Spartan Stadium on September 12 due to field maintenance.,106172,2026-08-31T09:37:00.856129+00:00
